hostname,gaia_id,default_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rowupdate,pl_pubdate;
11 Com,Gaia DR2 3946945413106333696,1,4742.00,100.00,-100.00,0,-0.350,0.090,-0.090,0,[Fe/H],2.31,0.10,-0.10,0,1.2000,1.0000,-1.0000,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2008-01;
11 UMi,Gaia DR2 1696798367260229376,1,4213.00,46.00,-46.00,0,-0.020,,,0,[Fe/H],1.93,0.07,-0.07,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-09-04,2017-03;
14 And,Gaia DR2 1920113512486282240,1,4813.00,20.00,-20.00,0,-0.240,0.030,-0.030,0,[Fe/H],2.63,0.07,-0.07,0,2.6000,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2008-12;
14 Her,Gaia DR2 1385293808145621504,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-09-19,2022-09;
16 Cyg B,Gaia DR2 2135550755683407232,1,5750.00,8.00,-8.00,0,0.060,,,0,[Fe/H],4.36,0.01,-0.01,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-09-04,2017-03;
17 Sco,Gaia DR2 4342464209753404416,1,4157.00,11.00,-10.00,0,-0.010,0.100,-0.100,0,[Fe/H],1.70,0.04,-0.06,0,3.9800,1.1100,-1.1100,0,329.49,92.40,-92.40,1,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-10-25,2020-12;
18 Del,Gaia DR2 1756741374681702784,1,4979.00,18.00,-18.00,0,-0.052,0.023,-0.023,0,[Fe/H],2.82,0.06,-0.06,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2008-06;
1RXS J160929.1-210524,Gaia DR2 6243841249531772800,1,4060.00,300.00,-200.00,0,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2015-04-01,2015-03;
24 Boo,Gaia DR2 1603662211901473408,1,4893.00,15.00,-15.00,0,-0.770,0.030,-0.030,0,[Fe/H],2.42,0.10,-0.10,0,3.3600,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2018-08;
24 Sex,Gaia DR2 3830897080395058048,1,5098.00,44.00,-44.00,0,-0.030,0.040,-0.040,0,[Fe/H],3.50,0.10,-0.10,0,2.7700,0.5000,-0.5000,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2011-01;
